dataset,method,query_id,k,matches,elapsed_ms,status,ts
sentiment,structural_topdiff_within,17,30,117,720.162,ok,2026-07-15T19:58:02+02:00
sentiment,structural_topdiff_within,18,30,99,715.428,ok,2026-07-15T19:58:03+02:00
sentiment,structural_topdiff_within,19,29,97,374.049,ok,2026-07-15T19:58:04+02:00
sentiment,structural_topdiff_within,20,30,121,484.103,ok,2026-07-15T19:58:04+02:00
sentiment,structural_topdiff_within,21,30,122,490.351,ok,2026-07-15T19:58:05+02:00
sentiment,structural_topdiff_within,22,30,67,593.955,ok,2026-07-15T19:58:05+02:00
sentiment,structural_topdiff_within,23,30,93,452.646,ok,2026-07-15T19:58:06+02:00
sentiment,structural_topdiff_within,24,30,161,435.418,ok,2026-07-15T19:58:06+02:00
sentiment,structural_topdiff_within,25,31,141,633.724,ok,2026-07-15T19:58:07+02:00
sentiment,structural_topdiff_within,26,30,68,575.173,ok,2026-07-15T19:58:08+02:00
sentiment,structural_topdiff_within,27,30,80,413.153,ok,2026-07-15T19:58:08+02:00
sentiment,structural_topdiff_within,28,31,143,686.987,ok,2026-07-15T19:58:09+02:00
sentiment,structural_topdiff_within,29,31,128,479.872,ok,2026-07-15T19:58:09+02:00
sentiment,structural_topdiff_within,30,30,109,819.144,ok,2026-07-15T19:58:10+02:00
sentiment,structural_topdiff_within,31,30,81,492.964,ok,2026-07-15T19:58:11+02:00
sentiment,structural_topdiff_within,32,30,85,426.784,ok,2026-07-15T19:58:11+02:00
sentiment,structural_topdiff_within,33,31,109,581.108,ok,2026-07-15T19:58:12+02:00
sentiment,structural_topdiff_within,34,30,98,460.443,ok,2026-07-15T19:58:12+02:00
sentiment,structural_topdiff_within,35,30,82,582.172,ok,2026-07-15T19:58:13+02:00
sentiment,structural_topdiff_within,36,30,90,618.476,ok,2026-07-15T19:58:13+02:00
sentiment,structural_topdiff_within,37,30,67,554.118,ok,2026-07-15T19:58:14+02:00
sentiment,structural_topdiff_within,38,30,141,548.415,ok,2026-07-15T19:58:14+02:00
sentiment,structural_topdiff_within,39,30,74,435.688,ok,2026-07-15T19:58:15+02:00
sentiment,structural_topdiff_within,40,29,103,629.958,ok,2026-07-15T19:58:15+02:00
sentiment,structural_topdiff_within,41,29,77,464.765,ok,2026-07-15T19:58:16+02:00
sentiment,structural_topdiff_within,42,30,149,573.241,ok,2026-07-15T19:58:17+02:00
sentiment,structural_topdiff_within,43,31,151,715.734,ok,2026-07-15T19:58:17+02:00
sentiment,structural_topdiff_within,44,30,115,729.833,ok,2026-07-15T19:58:18+02:00
sentiment,structural_topdiff_within,45,30,146,628.251,ok,2026-07-15T19:58:19+02:00
sentiment,structural_topdiff_within,46,30,80,464.288,ok,2026-07-15T19:58:19+02:00
sentiment,structural_topdiff_within,47,30,166,624.819,ok,2026-07-15T19:58:20+02:00
sentiment,structural_topdiff_within,48,30,73,574.193,ok,2026-07-15T19:58:21+02:00
sentiment,structural_topdiff_within,49,30,68,564.531,ok,2026-07-15T19:58:21+02:00
sentiment,structural_topdiff_within,50,30,138,559.522,ok,2026-07-15T19:58:22+02:00
sentiment,structural_topdiff_within,51,31,132,620.334,ok,2026-07-15T19:58:22+02:00
sentiment,structural_topdiff_within,52,30,143,623.685,ok,2026-07-15T19:58:23+02:00
sentiment,structural_topdiff_within,53,29,92,608.998,ok,2026-07-15T19:58:24+02:00
sentiment,structural_topdiff_within,54,30,57,665.933,ok,2026-07-15T19:58:24+02:00
sentiment,structural_topdiff_within,55,30,110,650.809,ok,2026-07-15T19:58:25+02:00
sentiment,structural_topdiff_within,56,31,132,504.153,ok,2026-07-15T19:58:26+02:00
sentiment,structural_topdiff_within,57,30,92,503.522,ok,2026-07-15T19:58:26+02:00
sentiment,structural_topdiff_within,58,30,70,783.379,ok,2026-07-15T19:58:27+02:00
sentiment,structural_topdiff_within,59,30,68,549.759,ok,2026-07-15T19:58:27+02:00
sentiment,structural_topdiff_within,60,31,155,515.457,ok,2026-07-15T19:58:28+02:00
sentiment,structural_topdiff_within,61,31,174,514.437,ok,2026-07-15T19:58:29+02:00
sentiment,structural_topdiff_within,62,30,115,627.503,ok,2026-07-15T19:58:29+02:00
sentiment,structural_topdiff_within,63,30,112,556.184,ok,2026-07-15T19:58:30+02:00
sentiment,structural_topdiff_within,64,30,71,456.383,ok,2026-07-15T19:58:30+02:00
sentiment,structural_topdiff_within,65,31,93,451.383,ok,2026-07-15T19:58:31+02:00
sentiment,structural_topdiff_within,66,30,88,489.317,ok,2026-07-15T19:58:31+02:00
sentiment,structural_topdiff_within,67,29,83,432.171,ok,2026-07-15T19:58:32+02:00
sentiment,structural_topdiff_within,68,30,72,505.658,ok,2026-07-15T19:58:32+02:00
sentiment,structural_topdiff_within,69,30,86,693.944,ok,2026-07-15T19:58:33+02:00
sentiment,structural_topdiff_within,70,30,94,552.426,ok,2026-07-15T19:58:33+02:00
sentiment,structural_topdiff_within,71,31,104,551.449,ok,2026-07-15T19:58:34+02:00
sentiment,structural_topdiff_within,72,30,112,608.028,ok,2026-07-15T19:58:35+02:00
sentiment,structural_topdiff_within,73,30,80,506.542,ok,2026-07-15T19:58:35+02:00
sentiment,structural_topdiff_within,74,30,96,761.042,ok,2026-07-15T19:58:36+02:00
sentiment,structural_topdiff_within,75,31,71,501.966,ok,2026-07-15T19:58:37+02:00
sentiment,structural_topdiff_within,76,31,101,527.041,ok,2026-07-15T19:58:37+02:00
sentiment,structural_topdiff_within,77,30,60,724.954,ok,2026-07-15T19:58:38+02:00
sentiment,structural_topdiff_within,78,30,147,590.611,ok,2026-07-15T19:58:38+02:00
sentiment,structural_topdiff_within,79,30,127,604.956,ok,2026-07-15T19:58:39+02:00
sentiment,structural_topdiff_within,80,30,76,565.102,ok,2026-07-15T19:58:40+02:00
sentiment,structural_topdiff_within,81,29,68,547.384,ok,2026-07-15T19:58:40+02:00
sentiment,structural_topdiff_within,82,30,103,628.713,ok,2026-07-15T19:58:41+02:00
sentiment,structural_topdiff_within,83,30,67,520.507,ok,2026-07-15T19:58:41+02:00
sentiment,structural_topdiff_within,84,30,95,462.378,ok,2026-07-15T19:58:42+02:00
sentiment,structural_topdiff_within,85,30,86,518.083,ok,2026-07-15T19:58:42+02:00
sentiment,structural_topdiff_within,86,30,100,526.773,ok,2026-07-15T19:58:43+02:00
sentiment,structural_topdiff_within,87,31,183,628.300,ok,2026-07-15T19:58:43+02:00
sentiment,structural_topdiff_within,88,30,111,598.489,ok,2026-07-15T19:58:44+02:00
sentiment,structural_topdiff_within,89,30,111,506.630,ok,2026-07-15T19:58:45+02:00
sentiment,structural_topdiff_within,90,30,79,476.397,ok,2026-07-15T19:58:45+02:00
sentiment,structural_topdiff_within,91,30,96,583.294,ok,2026-07-15T19:58:46+02:00
sentiment,structural_topdiff_within,92,30,71,587.726,ok,2026-07-15T19:58:46+02:00
sentiment,structural_topdiff_within,93,30,82,548.633,ok,2026-07-15T19:58:47+02:00
sentiment,structural_topdiff_within,94,29,74,581.498,ok,2026-07-15T19:58:48+02:00
sentiment,structural_topdiff_within,95,30,139,558.297,ok,2026-07-15T19:58:48+02:00
sentiment,structural_topdiff_within,96,30,74,564.784,ok,2026-07-15T19:58:49+02:00
sentiment,structural_topdiff_within,97,30,79,630.022,ok,2026-07-15T19:58:49+02:00
sentiment,structural_topdiff_within,98,30,76,488.339,ok,2026-07-15T19:58:50+02:00
sentiment,structural_topdiff_within,99,30,157,566.715,ok,2026-07-15T19:58:50+02:00
sentiment,binary_branch_topdiff_within,0,30,126,945.598,ok,2026-07-15T19:58:51+02:00
